ID_CAT;Category;Subcategory;Ptg_sls
BI_RB;Bikes;Road Bikes;49.46
BI_TB;Bikes;Touring Bikes;13.10
CL_JE;Clothing;Jerseys;0.59
AC_FE;Accessories;Fenders;0.16
AC_TT;Accessories;Tires and Tubes;0.83
AC_HE;Accessories;Helmets;0.77
CL_SO;Clothing;Socks;0.02
CL_GL;Clothing;Gloves;0.12
CL_SH;Clothing;Shorts;0.24
AC_BC;Accessories;Bottles and Cages;0.19
AC_BR;Accessories;Bike Racks;0.13
AC_HP;Accessories;Hydration Packs;0.14
BI_MB;Bikes;Mountain Bikes;33.90
CL_CA;Clothing;Caps;0.07
AC_BS;Accessories;Bike Stands;0.13
CL_VE;Clothing;Vests;0.12
AC_CL;Accessories;Cleaners;0.02
