Date;Orders
2010-12-01;14
2011-01-01;158
2011-02-01;302
2011-03-01;452
2011-04-01;609
2011-05-01;783
2011-06-01;1013
2011-07-01;1201
2011-08-01;1394
2011-09-01;1579
2011-10-01;1800
2011-11-01;2008
2011-12-01;2230
2012-01-01;2482
2012-02-01;2742
2012-03-01;2954
2012-04-01;3173
2012-05-01;3380
2012-06-01;3698
2012-07-01;3944
2012-08-01;4238
2012-09-01;4507
2012-10-01;4820
2012-11-01;5144
2012-12-01;5627
2013-01-01;7289
2013-02-01;10742
2013-03-01;14829
2013-04-01;18808
2013-05-01;23207
2013-06-01;28232
2013-07-01;32903
2013-08-01;37768
2013-09-01;42384
2013-10-01;47684
2013-11-01;52908
2013-12-01;58428
2014-01-01;60398
